su_id,casa,casa_indigena,apartamento,tipo_cuarto,otro_tipo_de_vivienda,total_viviendas
76001101000000000102,400,0,179,60,0,639
76001101000000000103,3677,0,2726,687,6,7096
76001101000000000104,235,0,213,32,0,480
76001101000000000105,384,0,222,58,0,664
76001101000000000106,102,0,8,5,0,115
76001102000000000105,37,0,11,6,0,54
76001102000000000201,449,0,1678,44,3,2174
76001102000000000202,146,0,277,2,2,427
76001102000000000203,327,0,652,33,3,1015
76001102000000000204,362,0,760,17,10,1149
76001102000000000205,47,0,629,24,2,702
76001102000000000206,409,0,1922,120,3,2454
76001102000000000207,33,0,562,16,0,611
76001102000000000208,349,0,617,19,0,985
76001102000000000209,308,0,1061,34,1,1404
76001102000000000210,2,0,199,1,0,202
76001102000000000211,805,0,1111,13,0,1929
76001102000000000212,1395,0,893,56,1,2345
76001102000000000213,883,0,689,10,0,1582
76001102000000000214,35,0,558,5,0,598
76001102000000000215,235,0,118,12,0,365
76001102000000000216,133,0,76,11,0,220
76001102000000000217,1351,0,508,148,5,2012
76001102000000000218,39,0,53,2,1,95
76001102000000000219,10,0,134,0,0,144
76001102000000000220,1233,0,800,6,0,2039
76001102000000000221,1083,0,95,10,0,1188
76001102000000000222,1679,0,1941,28,0,3648
76001102000000000223,1675,0,1863,46,0,3584
76001103000000000302,57,0,28,5,0,90
76001103000000000303,271,0,244,99,1,615
76001103000000000305,73,0,746,3,2,824
76001103000000000306,626,0,395,96,2,1119
76001103000000000307,1018,0,604,155,0,1777
76001103000000000308,724,0,575,89,0,1388
76001103000000000309,490,0,460,366,1,1317
76001103000000000310,160,0,420,234,1,815
76001103000000000311,54,0,247,41,0,342
76001103000000000312,26,0,139,19,2,186
76001103000000000313,116,0,96,484,3,699
76001103000000000314,211,0,201,506,3,921
76001103000000000315,59,0,123,63,0,245
76001103000000000316,114,0,80,123,1,318
76001103000000000317,423,0,580,710,0,1713
76001104000000000401,261,0,221,72,0,554
76001104000000000402,338,0,247,136,1,722
76001104000000000403,232,0,126,88,0,446
76001104000000000404,87,0,77,43,2,209
76001104000000000405,222,0,112,28,0,362
76001104000000000406,22,0,26,3,0,51
76001104000000000407,53,0,348,6,2,409
76001104000000000408,343,0,203,76,1,623
76001104000000000409,1375,0,362,157,2,1896
76001104000000000410,365,0,327,110,1,803
76001104000000000411,230,0,554,51,2,837
76001104000000000412,572,0,462,82,0,1116
76001104000000000413,335,0,284,67,0,686
76001104000000000414,868,0,459,71,0,1398
76001104000000000415,120,0,19,2,1,142
76001104000000000416,14,0,14,3,0,31
76001104000000000417,455,0,222,116,0,793
76001104000000000418,253,0,115,27,0,395
76001104000000000419,199,0,165,15,0,379
76001104000000000420,652,0,390,75,3,1120
76001104000000000421,302,0,146,12,4,464
76001104000000000422,735,0,506,25,0,1266
76001105000000000501,1177,0,917,46,1,2141
76001105000000000502,1164,0,896,18,0,2078
76001105000000000503,642,0,341,10,0,993
76001105000000000504,932,0,132,9,0,1073
76001105000000000505,4041,0,600,27,1,4669
76001105000000000506,2208,0,675,63,0,2946
76001105000000000507,773,0,1024,19,0,1816
76001105000000000508,336,0,1000,4,0,1340
76001105000000000509,120,0,4486,30,0,4636
76001105000000000510,667,0,1579,17,0,2263
76001105000000000511,2300,0,3276,28,0,5604
76001106000000000601,786,0,265,11,1,1063
76001106000000000602,2111,0,830,105,0,3046
76001106000000000603,1294,0,542,56,29,1921
76001106000000000604,852,0,373,44,3,1272
76001106000000000605,1042,0,468,57,14,1581
76001106000000000606,1270,0,1287,126,1,2684
76001106000000000607,408,0,337,13,0,758
76001106000000000608,50,0,913,10,1,974
76001106000000000609,83,0,2175,13,1,2272
76001106000000000610,1405,0,1602,159,0,3166
76001106000000000611,1197,0,912,148,20,2277
76001106000000000612,1442,0,874,108,4,2428
76001106000000000613,4253,0,1572,137,0,5962
76001106000000000614,1540,0,1467,35,0,3042
76001106000000000615,828,0,1448,15,0,2291
76001106000000000616,24,0,1,0,0,25
76001106000000000617,2534,0,507,44,0,3085
76001106000000009906,461,0,236,214,29,940
76001107000000000701,116,0,19,14,0,149
76001107000000000703,607,0,656,33,0,1296
76001107000000000704,322,0,160,8,0,490
76001107000000000705,395,0,352,50,0,797
76001107000000000706,1287,0,852,31,1,2171
76001107000000000707,1488,0,1266,144,1,2899
76001107000000000708,544,0,196,19,1,760
76001107000000000709,596,0,285,75,14,970
76001107000000000710,1676,0,1308,240,2,3226
76001107000000000711,248,0,68,21,5,342
76001107000000000712,1243,0,629,112,59,2043
76001107000000000713,1489,0,896,138,4,2527
76001108000000000801,898,0,286,78,0,1262
76001108000000000802,371,0,101,21,0,493
76001108000000000803,789,0,309,221,0,1319
76001108000000000804,554,0,355,143,1,1053
76001108000000000805,507,0,252,85,1,845
76001108000000000806,365,0,243,131,0,739
76001108000000000807,833,0,456,343,0,1632
76001108000000000808,206,0,199,209,0,614
76001108000000000809,820,0,400,126,0,1346
76001108000000000810,1387,0,648,105,0,2140
76001108000000000811,1096,0,713,271,0,2080
76001108000000000812,1241,0,1234,292,1,2768
76001108000000000813,538,0,346,61,0,945
76001108000000000814,838,0,511,113,0,1462
76001108000000000815,1175,0,697,161,0,2033
76001108000000000816,1567,0,711,37,0,2315
76001108000000000817,326,0,385,120,0,831
76001108000000000818,857,0,1300,73,0,2230
76001109000000000901,517,0,495,49,1,1062
76001109000000000902,1158,0,655,147,2,1962
76001109000000000903,1280,0,775,77,0,2132
76001109000000000904,828,0,324,36,0,1188
76001109000000000905,456,0,264,45,0,765
76001109000000000906,145,0,63,7,1,216
76001109000000000907,358,0,160,20,0,538
76001109000000000908,783,0,342,112,0,1237
76001109000000000909,659,0,257,424,2,1342
76001109000000000910,768,0,384,446,0,1598
76001110000000001001,747,0,815,24,0,1586
76001110000000001002,589,0,334,8,0,931
76001110000000001003,483,0,1512,7,0,2002
